date,temp_avg,sunshine_hours,mains_load,is_holiday,is_weekend,is_weekday,months_since_start
2015-01-01,3.2251612903225806,40.980000000000004,45142690.25,1,9,21,0
2015-02-01,1.8464285714285715,93.74,42095506.5,0,8,20,1
2015-03-01,6.196774193548387,132.78,44331785.0,0,9,22,2
2015-04-01,9.539333333333333,225.04,40041540.0,2,8,20,3
2015-05-01,13.412258064516129,187.5,39296911.0,3,10,18,4
2015-06-01,16.858666666666668,212.54,39224434.0,0,8,22,5
2015-07-01,20.4,239.06,41394974.0,0,8,23,6
2015-08-01,20.99483870967742,251.44,40015228.0,0,10,21,7
2015-09-01,14.109333333333334,146.34,40354012.25,0,8,22,8
2015-10-01,9.136774193548387,107.1,42769262.25,1,9,22,9
2015-11-01,8.595333333333334,67.58,43290604.5,0,9,21,10
2015-12-01,7.652258064516129,75.38,42262554.75,2,8,22,11
2016-01-01,1.9374193548387098,46.12,44951910.75,1,10,20,12
2016-02-01,4.338620689655173,59.76,42798190.75,0,8,21,13
2016-03-01,5.051612903225807,97.64,43741831.75,2,8,21,14
2016-04-01,9.094666666666667,158.6,40576074.75,0,9,21,15
2016-05-01,14.898709677419355,224.6,40147380.75,3,9,20,16
2016-06-01,18.177333333333333,199.48000000000002,39703667.0,0,8,22,17
2016-07-01,19.820000000000004,192.24,40551197.75,0,10,21,18
2016-08-01,18.701290322580647,217.98,40132670.25,0,8,23,19
2016-09-01,17.948666666666668,219.62,39402839.75,0,8,22,20
2016-10-01,9.403225806451612,63.660000000000004,42262730.0,1,10,20,21
2016-11-01,4.755333333333334,63.06,44377660.0,0,8,22,22
2016-12-01,3.3451612903225807,69.46000000000001,44437478.25,2,9,21,23
2017-01-01,-1.0212903225806451,71.98,47301200.25,1,9,22,24
2017-02-01,3.6978571428571425,66.28,42100201.0,0,8,20,25
2017-03-01,8.294193548387097,143.57999999999998,44319006.0,0,8,23,26
2017-04-01,8.376,144.24,39933859.5,2,10,18,27
2017-05-01,15.21483870967742,226.56,41034028.75,2,8,21,28
2017-06-01,18.93,231.1,39360481.25,1,8,21,29
2017-07-01,19.10258064516129,192.38,40478579.5,0,10,21,30
2017-08-01,18.958709677419357,202.7,40131363.0,0,8,23,31
2017-09-01,13.964,125.66,39909208.25,0,9,21,32
2017-10-01,12.217419354838709,101.96,42373252.25,2,9,20,33
2017-11-01,6.16,42.36,44097291.5,0,8,22,34
2017-12-01,3.761935483870968,33.26,44642754.0,2,10,19,35
2018-01-01,4.567096774193549,39.04,46514365.25,1,8,22,36
2018-02-01,-0.8864285714285715,117.44,42959143.5,0,8,20,37
2018-03-01,3.185806451612903,117.84,46013501.0,1,9,21,38
2018-04-01,13.475333333333333,225.84,40222134.0,1,9,20,39
2018-05-01,17.27741935483871,293.96,40544870.25,3,8,20,40
2018-06-01,18.839333333333332,214.66,40324982.0,0,9,21,41
2018-07-01,21.481290322580644,308.74,40943904.5,0,9,22,42
2018-08-01,21.198064516129033,254.07999999999998,41211189.25,0,8,23,43
2018-09-01,16.24,200.22,40213865.75,0,10,20,44
2018-10-01,11.725806451612904,152.28,43181561.0,1,8,22,45
2018-11-01,6.0633333333333335,76.36,43562042.0,0,8,22,46
2018-12-01,4.9632258064516135,26.9,43563211.5,2,10,19,47
2019-01-01,1.5974193548387097,44.36,46437859.25,1,8,22,48
2019-02-01,5.215714285714286,127.82,41353014.25,0,8,20,49
2019-03-01,7.659354838709677,106.1,43662672.25,0,10,21,50
2019-04-01,10.850666666666665,233.64000000000001,39485981.0,2,8,20,51
2019-05-01,12.094193548387098,179.36,40628170.5,2,8,21,52
2019-06-01,21.169333333333334,307.8,38116875.0,1,10,19,53
2019-07-01,19.970967741935485,217.82,40926499.0,0,8,23,54
2019-08-01,20.36193548387097,228.52,39550255.0,0,9,22,55
2019-09-01,15.212666666666667,163.12,39399779.25,0,9,21,56
2019-10-01,11.738709677419354,111.02,42372450.0,1,8,22,57
2019-11-01,6.219333333333334,48.42,43016014.75,0,9,21,58
2019-12-01,4.9154838709677415,59.08,42418009.25,2,9,20,59
2020-01-01,4.676774193548387,65.88,45324095.25,1,8,22,60
2020-02-01,6.404137931034483,60.54,43129401.75,0,9,20,61
2020-03-01,6.330322580645162,177.2,42842539.25,0,9,22,62
2020-04-01,11.491999999999999,297.24,36521290.0,2,8,20,63
2020-05-01,12.947096774193549,233.36,37097905.75,2,10,19,64
2020-06-01,18.328666666666667,218.0,36443267.0,1,8,21,65
2020-07-01,18.78322580645161,224.26,38445317.0,0,8,23,66
2020-08-01,21.345161290322583,222.86,38498147.75,0,10,21,67
2020-09-01,15.946,210.96,38675427.75,0,8,22,68
2020-10-01,11.298064516129033,69.26,42704428.25,1,9,22,69
2020-11-01,7.33,91.14,42717181.5,0,9,21,70
2020-12-01,3.955483870967742,44.28,42957836.0,2,8,22,71
2021-01-01,1.558709677419355,30.32,45631444.0,1,10,20,72
2021-02-01,2.8742857142857146,111.92,41758874.75,0,8,20,73
2021-03-01,5.856129032258064,146.92,44880865.5,0,8,23,74
2021-04-01,7.074,182.94,41055628.5,2,8,20,75
2021-05-01,11.87483870967742,174.16,40235351.0,3,10,19,76
2021-06-01,20.278666666666666,267.64,39486042.25,0,8,22,77
2021-07-01,19.66774193548387,199.26,40633269.25,0,9,22,78
2021-08-01,17.385161290322582,159.14,39398581.0,0,9,22,79
2021-09-01,16.140666666666668,174.14,39504161.5,0,8,22,80
2021-10-01,10.824516129032258,139.76,43218816.0,1,10,21,81
2021-11-01,5.907333333333333,49.54,43894752.5,0,8,22,82
2021-12-01,3.459354838709677,38.48,44903752.0,2,8,23,83
2022-01-01,3.867096774193548,42.88,46287079.0,1,10,21,84
2022-02-01,5.602142857142858,86.32,42317899.0,0,8,20,85
2022-03-01,6.17741935483871,242.92,43923259.5,0,8,23,86
2022-04-01,8.806000000000001,198.42,40131877.25,2,9,19,87
2022-05-01,15.427741935483871,252.51999999999998,39880332.5,2,9,21,88
2022-06-01,19.42866666666667,285.46,37360445.0,1,8,21,89
2022-07-01,20.169677419354837,262.84,38359781.75,0,10,21,90
2022-08-01,21.238064516129032,268.16,37448427.0,0,8,23,91
2022-09-01,14.326666666666666,165.52,37354092.25,0,8,22,92
2022-10-01,13.503225806451614,153.08,38545247.0,1,10,20,93
2022-11-01,7.1593333333333335,88.84,39774611.25,0,8,22,94
2022-12-01,2.6896774193548385,40.94,40912897.25,2,9,21,95
